City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
138,qostanay,75.0,KZ,1621177255.0,17.0,53.1667,63.5833,86.0,17.9
139,saint george,1.0,US,1621177460.0,15.0,37.1041,-113.5841,72.73,14.97
140,grindavik,0.0,IS,1621177466.0,42.0,63.8424,-22.4338,44.6,14.97
141,avarua,20.0,CK,1621177471.0,78.0,-21.2078,-159.775,75.2,5.75
142,inhambane,20.0,MZ,1621177476.0,78.0,-23.865,35.3833,82.18,6.91
143,san quintin,2.0,MX,1621177481.0,68.0,30.4833,-115.95,60.62,11.72
144,hervey bay,31.0,AU,1621177497.0,77.0,-25.2986,152.8535,55.99,3.0
145,west wendover,1.0,US,1621177215.0,44.0,40.7391,-114.0733,60.8,6.17
146,mar del plata,20.0,AR,1621177507.0,82.0,-38.0023,-57.5575,60.94,5.75
147,madison,1.0,US,1621177512.0,49.0,34.7334,-86.5667,70.72,10.36
148,port hedland,0.0,AU,1621177518.0,72.0,-20.3167,118.5667,64.4,6.91
149,ko samui,86.0,TH,1621177523.0,68.0,9.5357,99.9357,86.41,5.79
150,lavumisa,0.0,SZ,1621177528.0,37.0,-27.31,31.892,86.0,12.66
151,laguna,40.0,US,1621177533.0,76.0,38.421,-121.4238,56.59,12.66
152,ewa beach,1.0,US,1621177539.0,68.0,21.3156,-158.0072,71.24,5.75
153,yarada,20.0,IN,1621177549.0,84.0,17.65,83.2667,86.0,5.75
154,astoria,90.0,US,1621177554.0,87.0,46.1879,-123.8313,50.95,4.61
155,shingu,100.0,JP,1621177560.0,94.0,33.7333,135.9833,73.0,3.0
156,coaldale,75.0,CA,1621177565.0,47.0,49.7167,-112.6185,57.29,8.05
157,west plains,1.0,US,1621177570.0,73.0,36.7281,-91.8524,70.61,6.91
158,lasa,40.0,IT,1621177575.0,76.0,46.6166,10.7002,59.7,4.61
159,calmar,80.0,CA,1621177581.0,47.0,53.2668,-113.8187,59.0,4.61
160,thongwa,40.0,MM,1621177586.0,70.0,16.7619,96.5278,86.0,6.91
161,faanui,74.0,PF,1621177591.0,71.0,-16.4833,-151.75,81.25,16.06
162,puerto penasco,0.0,MX,1621177596.0,63.0,31.3167,-113.5333,73.0,5.99
163,bandarbeyla,77.0,SO,1621177602.0,57.0,9.4942,50.8122,89.47,20.69
